date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
09/06/2013,Buffalo,0-3,3.0,0,31.0,20.0,100.0,0.11,34.0,4.0,8.0,31.0,5.0,0.0,2.0,1.0,36.0,1.0,Buffalo,3,10.333333333333334,6.666666666666667,33.333333333333336,11.333333333333334,1.3333333333333333,2.6666666666666665,10.333333333333334,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,12.0
09/07/2013,Bucknell,2-3,5.0,0,74.0,28.0,169.0,0.272,72.0,6.0,12.0,66.0,4.0,1.0,28.0,1.0,95.0,0.0,Bucknell,5,14.8,5.6,33.8,14.4,1.2,2.4,13.2,0.8,0.2,5.6,0.2,19.0
09/07/2013,Iona,3-1,4.0,0,54.0,18.0,145.0,0.248,52.0,6.0,14.0,60.0,5.0,1.0,22.0,1.0,72.0,2.0,Iona,4,13.5,4.5,36.25,13.0,1.5,3.5,15.0,1.25,0.25,5.5,0.25,18.0
09/13/2013,@ LIU,2-3,5.0,0,67.0,30.0,189.0,0.196,59.0,7.0,11.0,74.0,7.0,0.0,19.0,5.0,83.5,0.0,LIU,5,13.4,6.0,37.8,11.8,1.4,2.2,14.8,1.4,0.0,3.8,1.0,16.7
09/14/2013,"Fairfield @ Brooklyn, N.Y.",3-0,3.0,0,48.0,12.0,99.0,0.364,44.0,8.0,9.0,41.0,1.0,1.0,4.0,8.0,59.0,1.0,Fairfield,3,16.0,4.0,33.0,14.666666666666666,2.6666666666666665,3.0,13.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,19.666666666666668
09/14/2013,"Colgate @ Brooklyn, N.Y.",0-3,3.0,0,36.0,20.0,105.0,0.152,34.0,5.0,6.0,39.0,5.0,0.0,2.0,5.0,42.0,2.0,Colgate,3,12.0,6.666666666666667,35.0,11.333333333333334,1.6666666666666667,2.0,13.0,1.6666666666666667,0.0,0.6666666666666666,1.6666666666666667,14.0
09/20/2013,"Morehead St. @ Pittsburgh, Pa.",1-3,4.0,0,30.0,15.0,107.0,0.14,28.0,6.0,13.0,37.0,3.0,1.0,10.0,5.0,42.0,1.0,Morehead St.,4,7.5,3.75,26.75,7.0,1.5,3.25,9.25,0.75,0.25,2.5,1.25,10.5
09/20/2013,@ Pittsburgh,3-2,5.0,0,42.0,23.0,131.0,0.145,39.0,8.0,10.0,45.0,8.0,3.0,16.0,5.0,61.0,2.0,Pittsburgh,5,8.4,4.6,26.2,7.8,1.6,2.0,9.0,1.6,0.6,3.2,1.0,12.2
09/21/2013,"Rutgers @ Pittsburgh, Pa.",2-3,5.0,0,51.0,37.0,175.0,0.08,50.0,1.0,5.0,86.0,6.0,2.0,11.0,4.0,59.5,4.0,Rutgers,5,10.2,7.4,35.0,10.0,0.2,1.0,17.2,1.2,0.4,2.2,0.8,11.9
09/28/2013,Columbia,3-2,5.0,0,62.0,28.0,182.0,0.187,59.0,4.0,16.0,81.0,6.0,1.0,24.0,3.0,79.0,1.0,Columbia,5,12.4,5.6,36.4,11.8,0.8,3.2,16.2,1.2,0.2,4.8,0.6,15.8
10/04/2013,Princeton,3-1,4.0,0,60.0,25.0,145.0,0.241,59.0,2.0,11.0,74.0,3.0,1.0,16.0,0.0,71.0,3.0,Princeton,4,15.0,6.25,36.25,14.75,0.5,2.75,18.5,0.75,0.25,4.0,0.0,17.75
10/05/2013,Penn,2-3,5.0,0,52.0,23.0,171.0,0.17,49.0,5.0,9.0,79.0,3.0,4.0,23.0,4.0,72.5,4.0,Penn,5,10.4,4.6,34.2,9.8,1.0,1.8,15.8,0.6,0.8,4.6,0.8,14.5
10/11/2013,@ Harvard,1-3,4.0,0,43.0,21.0,143.0,0.154,40.0,2.0,9.0,53.0,6.0,5.0,16.0,3.0,58.0,0.0,Harvard,4,10.75,5.25,35.75,10.0,0.5,2.25,13.25,1.5,1.25,4.0,0.75,14.5
10/12/2013,@ Dartmouth,2-3,5.0,0,59.0,20.0,172.0,0.227,55.0,4.0,7.0,67.0,5.0,5.0,8.0,1.0,72.0,0.0,Dartmouth,5,11.8,4.0,34.4,11.0,0.8,1.4,13.4,1.0,1.0,1.6,0.2,14.4
10/15/2013,@ Binghamton,3-2,5.0,0,59.0,18.0,150.0,0.273,53.0,9.0,11.0,70.0,5.0,3.0,22.0,3.0,82.0,5.0,Binghamton,5,11.8,3.6,30.0,10.6,1.8,2.2,14.0,1.0,0.6,4.4,0.6,16.4
10/18/2013,Yale,0-3,3.0,0,28.0,14.0,98.0,0.143,25.0,3.0,8.0,36.0,6.0,2.0,14.0,0.0,40.0,2.0,Yale,3,9.333333333333334,4.666666666666667,32.666666666666664,8.333333333333334,1.0,2.6666666666666665,12.0,2.0,0.6666666666666666,4.666666666666667,0.0,13.333333333333334
10/19/2013,Brown,1-3,4.0,0,49.0,34.0,163.0,0.092,42.0,5.0,5.0,68.0,7.0,4.0,26.0,1.0,71.0,2.0,Brown,4,12.25,8.5,40.75,10.5,1.25,1.25,17.0,1.75,1.0,6.5,0.25,17.75
10/26/2013,@ Columbia,3-2,5.0,0,73.0,24.0,182.0,0.269,69.0,8.0,13.0,93.0,6.0,1.0,10.0,10.0,87.0,3.0,Columbia,5,14.6,4.8,36.4,13.8,1.6,2.6,18.6,1.2,0.2,2.0,2.0,17.4
11/01/2013,@ Penn,2-3,5.0,0,61.0,16.0,166.0,0.271,57.0,3.0,4.0,76.0,10.0,2.0,22.0,3.0,77.0,3.0,Penn,5,12.2,3.2,33.2,11.4,0.6,0.8,15.2,2.0,0.4,4.4,0.6,15.4
11/02/2013,@ Princeton,0-3,3.0,0,40.0,14.0,90.0,0.289,39.0,3.0,4.0,29.0,10.0,2.0,10.0,2.0,50.0,1.0,Princeton,3,13.333333333333334,4.666666666666667,30.0,13.0,1.0,1.3333333333333333,9.666666666666666,3.333333333333333,0.6666666666666666,3.3333333333333335,0.6666666666666666,16.666666666666668
11/08/2013,@ Brown,2-3,5.0,0,70.0,27.0,186.0,0.231,58.0,3.0,9.0,79.0,4.0,2.0,14.0,1.0,82.0,4.0,Brown,5,14.0,5.4,37.2,11.6,0.6,1.8,15.8,0.8,0.4,2.8,0.2,16.4
11/09/2013,@ Yale,0-3,3.0,0,31.0,19.0,106.0,0.113,30.0,0.0,5.0,40.0,5.0,4.0,0.0,0.0,35.0,1.0,Yale,3,10.333333333333334,6.333333333333333,35.333333333333336,10.0,0.0,1.6666666666666667,13.333333333333334,1.6666666666666667,1.3333333333333333,0.0,0.0,11.666666666666666
11/15/2013,Dartmouth,3-1,4.0,0,63.0,22.0,168.0,0.244,58.0,3.0,5.0,83.0,6.0,5.0,16.0,0.0,79.0,3.0,Dartmouth,4,15.75,5.5,42.0,14.5,0.75,1.25,20.75,1.5,1.25,4.0,0.0,19.75
11/16/2013,Harvard,0-3,3.0,0,35.0,24.0,126.0,0.087,35.0,1.0,6.0,53.0,5.0,2.0,14.0,0.0,45.0,1.0,Harvard,3,11.666666666666666,8.0,42.0,11.666666666666666,0.3333333333333333,2.0,17.666666666666668,1.6666666666666667,0.6666666666666666,4.666666666666667,0.0,15.0
