date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
02/05/2021,Illinois,3-1,4.0,0,52.0,14.0,124.0,0.306,48.0,5.0,15.0,42.0,5.0,2.0,12.0,0.0,8.0,65.0,2.0,Illinois
02/06/2021,Illinois,3-2,5.0,0,63.0,21.0,148.0,0.284,56.0,9.0,10.0,67.0,9.0,3.0,20.0,1.0,13.0,85.0,0.0,Illinois
02/13/2021,@ Minnesota,1-3,4.0,0,54.0,26.0,161.0,0.174,53.0,5.0,5.0,69.0,4.0,2.0,10.0,3.0,7.0,66.0,0.0,Minnesota
02/14/2021,@ Minnesota,2-3,5.0,0,61.0,21.0,175.0,0.229,59.0,3.0,9.0,82.0,10.0,2.0,24.0,1.0,14.0,78.0,0.0,Minnesota
02/17/2021,@ Ohio St.,2-3,5.0,0,53.0,26.0,164.0,0.165,51.0,10.0,6.0,61.0,4.0,1.0,22.0,3.0,12.0,75.0,0.0,Ohio St.
02/19/2021,Indiana,3-1,4.0,0,57.0,15.0,121.0,0.347,54.0,5.0,10.0,51.0,3.0,4.0,12.0,2.0,10.0,72.0,0.0,Indiana
02/20/2021,Indiana,3-0,3.0,0,52.0,13.0,107.0,0.364,44.0,5.0,12.0,37.0,1.0,2.0,10.0,0.0,7.0,64.0,1.0,Indiana
03/03/2021,Ohio St.,0-3,3.0,0,41.0,13.0,102.0,0.275,38.0,2.0,10.0,32.0,4.0,1.0,8.0,1.0,5.0,48.0,0.0,Ohio St.
03/05/2021,Purdue,1-3,4.0,0,52.0,24.0,163.0,0.172,50.0,10.0,14.0,59.0,3.0,1.0,16.0,2.0,9.0,71.0,1.0,Purdue
03/06/2021,Purdue,3-1,4.0,0,59.0,29.0,156.0,0.192,53.0,5.0,7.0,63.0,3.0,0.0,20.0,1.0,10.0,74.0,1.0,Purdue
03/12/2021,Rutgers,3-0,3.0,0,43.0,12.0,89.0,0.348,40.0,6.0,10.0,36.0,3.0,1.0,16.0,1.0,9.0,58.0,1.0,Rutgers
03/13/2021,Rutgers,3-0,3.0,0,48.0,9.0,89.0,0.438,45.0,8.0,9.0,36.0,2.0,2.0,10.0,0.0,7.0,63.0,0.0,Rutgers
03/19/2021,@ Michigan St.,3-0,3.0,0,44.0,11.0,96.0,0.344,37.0,3.0,6.0,45.0,3.0,3.0,8.0,2.0,7.0,54.0,1.0,Michigan St.
03/20/2021,@ Michigan St.,3-0,3.0,0,32.0,7.0,77.0,0.325,26.0,7.0,10.0,27.0,2.0,1.0,8.0,1.0,5.0,44.0,1.0,Michigan St.
04/15/2021,"N.C. A&T @ Omaha, NE",3-0,3.0,0,43.0,12.0,88.0,0.352,38.0,7.0,5.0,30.0,1.0,1.0,10.0,0.0,6.0,56.0,0.0,N.C. A&T
04/18/2021,"Texas @ Omaha, NE",1-3,4.0,0,53.0,20.0,149.0,0.221,50.0,6.0,7.0,52.0,5.0,1.0,16.0,1.0,9.0,68.0,1.0,Texas
