date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,"Morehead St. @ Morehead, Ky.",3-0,3.0,0,32.0,12.0,88.0,0.227,31.0,7.0,6.0,34.0,2.0,0.0,14.0,1.0,46.0,0.0,Morehead St.,3,10.666666666666666,4.0,29.333333333333332,10.333333333333334,2.3333333333333335,2.0,11.333333333333334,0.6666666666666666,0.0,4.666666666666667,0.3333333333333333,15.333333333333334,0.0
08/28/2015,"Indiana St. @ Morehead, Ky.",3-1,4.0,0,54.0,22.0,154.0,0.208,50.0,1.0,10.0,59.0,5.0,6.0,12.0,0.0,67.0,1.0,Indiana St.,4,13.5,5.5,38.5,12.5,0.25,2.5,14.75,1.25,1.5,3.0,0.0,16.75,0.25
08/29/2015,"Canisius @ Morehead, Ky.",3-0,3.0,0,42.0,16.0,112.0,0.232,36.0,7.0,4.0,52.0,2.0,1.0,6.0,0.0,53.0,1.0,Canisius,3,14.0,5.333333333333333,37.333333333333336,12.0,2.3333333333333335,1.3333333333333333,17.333333333333332,0.6666666666666666,0.3333333333333333,2.0,0.0,17.666666666666668,0.3333333333333333
09/01/2015,Eastern Ky.,3-1,4.0,0,62.0,21.0,135.0,0.304,60.0,1.0,8.0,68.0,1.0,3.0,0.0,0.0,66.0,0.0,Eastern Ky.,4,15.5,5.25,33.75,15.0,0.25,2.0,17.0,0.25,0.75,0.0,0.0,16.5,0.0
09/04/2015,"New Hampshire @ Fairfield, Conn.",1-3,4.0,0,44.0,24.0,126.0,0.159,43.0,3.0,10.0,56.0,6.0,1.0,4.0,5.0,50.0,0.0,New Hampshire,4,11.0,6.0,31.5,10.75,0.75,2.5,14.0,1.5,0.25,1.0,1.25,12.5,0.0
09/05/2015,"Stony Brook @ Fairfield, Conn.",3-2,5.0,0,53.0,15.0,138.0,0.275,49.0,8.0,9.0,59.0,7.0,3.0,14.0,7.0,71.0,5.0,Stony Brook,5,10.6,3.0,27.6,9.8,1.6,1.8,11.8,1.4,0.6,2.8,1.4,14.2,1.0
09/05/2015,"Boston College @ Fairfield, Conn.",3-2,5.0,0,68.0,32.0,187.0,0.193,61.0,11.0,3.0,76.0,4.0,4.0,20.0,4.0,93.0,2.0,Boston College,5,13.6,6.4,37.4,12.2,2.2,0.6,15.2,0.8,0.8,4.0,0.8,18.6,0.4
09/11/2015,"Wake Forest @ High Point, N.C.",3-1,4.0,0,64.0,17.0,160.0,0.294,60.0,0.0,9.0,76.0,1.0,4.0,10.0,1.0,73.0,4.0,Wake Forest,4,16.0,4.25,40.0,15.0,0.0,2.25,19.0,0.25,1.0,2.5,0.25,18.25,1.0
09/12/2015,@ High Point,3-2,5.0,0,56.0,24.0,204.0,0.157,52.0,4.0,10.0,99.0,8.0,1.0,12.0,1.0,67.0,1.0,High Point,5,11.2,4.8,40.8,10.4,0.8,2.0,19.8,1.6,0.2,2.4,0.2,13.4,0.2
09/12/2015,"Davidson @ High Point, N.C.",2-3,5.0,0,67.0,35.0,216.0,0.148,62.0,3.0,7.0,105.0,4.0,1.0,14.0,2.0,78.0,0.0,Davidson,5,13.4,7.0,43.2,12.4,0.6,1.4,21.0,0.8,0.2,2.8,0.4,15.6,0.0
09/15/2015,@ West Virginia,2-3,5.0,0,53.0,23.0,157.0,0.191,46.0,1.0,10.0,50.0,4.0,4.0,14.0,0.0,65.0,2.0,West Virginia,5,10.6,4.6,31.4,9.2,0.2,2.0,10.0,0.8,0.8,2.8,0.0,13.0,0.4
09/18/2015,Samford,3-0,3.0,0,40.0,17.0,100.0,0.23,36.0,6.0,2.0,49.0,8.0,2.0,8.0,3.0,52.0,0.0,Samford,3,13.333333333333334,5.666666666666667,33.333333333333336,12.0,2.0,0.6666666666666666,16.333333333333332,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.0,17.333333333333332,0.0
09/18/2015,"ETSU @ Morehead, Ky.",0-3,3.0,0,32.0,22.0,97.0,0.103,31.0,6.0,11.0,28.0,4.0,1.0,4.0,2.0,41.0,0.0,ETSU,3,10.666666666666666,7.333333333333333,32.333333333333336,10.333333333333334,2.0,3.6666666666666665,9.333333333333334,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,13.666666666666666,0.0
09/23/2015,Western Ky.,1-3,4.0,0,42.0,28.0,125.0,0.112,40.0,3.0,9.0,42.0,5.0,4.0,6.0,0.0,52.0,0.0,Western Ky.,4,10.5,7.0,31.25,10.0,0.75,2.25,10.5,1.25,1.0,1.5,0.0,13.0,0.0
09/25/2015,Charlotte,3-2,5.0,0,66.0,24.0,175.0,0.24,63.0,8.0,7.0,86.0,7.0,0.0,10.0,1.0,79.0,0.0,Charlotte,5,13.2,4.8,35.0,12.6,1.6,1.4,17.2,1.4,0.0,2.0,0.2,15.8,0.0
09/27/2015,Louisiana Tech,3-0,3.0,0,42.0,17.0,125.0,0.2,39.0,4.0,3.0,51.0,0.0,0.0,8.0,2.0,50.0,0.0,Louisiana Tech,3,14.0,5.666666666666667,41.666666666666664,13.0,1.3333333333333333,1.0,17.0,0.0,0.0,2.6666666666666665,0.6666666666666666,16.666666666666668,0.0
10/02/2015,@ FIU,1-3,4.0,0,55.0,23.0,146.0,0.219,50.0,4.0,7.0,59.0,8.0,2.0,0.0,0.0,61.0,0.0,FIU,4,13.75,5.75,36.5,12.5,1.0,1.75,14.75,2.0,0.5,0.0,0.0,15.25,0.0
10/04/2015,"Fla. Atlantic @ Boca Raton, Fla.",0-3,3.0,0,33.0,17.0,110.0,0.145,30.0,2.0,1.0,43.0,4.0,3.0,2.0,1.0,39.0,1.0,Fla. Atlantic,3,11.0,5.666666666666667,36.666666666666664,10.0,0.6666666666666666,0.3333333333333333,14.333333333333334,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,13.0,0.3333333333333333
10/09/2015,UAB,3-1,4.0,0,54.0,13.0,134.0,0.306,53.0,4.0,8.0,55.0,1.0,4.0,10.0,1.0,67.0,4.0,UAB,4,13.5,3.25,33.5,13.25,1.0,2.0,13.75,0.25,1.0,2.5,0.25,16.75,1.0
10/11/2015,North Texas,1-3,4.0,0,56.0,21.0,150.0,0.233,52.0,3.0,10.0,64.0,3.0,4.0,10.0,4.0,68.0,1.0,North Texas,4,14.0,5.25,37.5,13.0,0.75,2.5,16.0,0.75,1.0,2.5,1.0,17.0,0.25
10/16/2015,@ UTEP,3-2,5.0,0,65.0,28.0,204.0,0.181,60.0,3.0,10.0,94.0,8.0,2.0,12.0,3.0,76.0,0.0,UTEP,5,13.0,5.6,40.8,12.0,0.6,2.0,18.8,1.6,0.4,2.4,0.6,15.2,0.0
10/18/2015,@ UTSA,3-1,4.0,0,52.0,17.0,119.0,0.294,44.0,4.0,7.0,46.0,6.0,1.0,19.0,1.0,66.5,3.0,UTSA,4,13.0,4.25,29.75,11.0,1.0,1.75,11.5,1.5,0.25,4.75,0.25,16.625,0.75
10/21/2015,Middle Tenn.,3-1,4.0,0,62.0,23.0,169.0,0.231,53.0,4.0,5.0,74.0,4.0,1.0,10.0,0.0,72.0,1.0,Middle Tenn.,4,15.5,5.75,42.25,13.25,1.0,1.25,18.5,1.0,0.25,2.5,0.0,18.0,0.25
10/23/2015,@ Charlotte,2-3,5.0,0,46.0,34.0,181.0,0.066,42.0,6.0,4.0,83.0,7.0,2.0,22.0,1.0,65.0,1.0,Charlotte,5,9.2,6.8,36.2,8.4,1.2,0.8,16.6,1.4,0.4,4.4,0.2,13.0,0.2
10/30/2015,@ UAB,2-3,5.0,0,50.0,25.0,172.0,0.145,48.0,4.0,7.0,91.0,4.0,2.0,16.0,3.0,64.0,2.0,UAB,5,10.0,5.0,34.4,9.6,0.8,1.4,18.2,0.8,0.4,3.2,0.6,12.8,0.4
11/06/2015,Southern Miss.,0-3,3.0,0,33.0,20.0,126.0,0.103,29.0,2.0,2.0,51.0,1.0,6.0,6.0,0.0,44.0,2.0,Southern Miss.,3,11.0,6.666666666666667,42.0,9.666666666666666,0.6666666666666666,0.6666666666666666,17.0,0.3333333333333333,2.0,2.0,0.0,14.666666666666666,0.6666666666666666
11/08/2015,Rice,0-3,3.0,0,32.0,15.0,89.0,0.191,32.0,3.0,4.0,38.0,7.0,0.0,0.0,0.0,35.0,0.0,Rice,3,10.666666666666666,5.0,29.666666666666668,10.666666666666666,1.0,1.3333333333333333,12.666666666666666,2.333333333333333,0.0,0.0,0.0,11.666666666666666,0.0
11/12/2015,@ Western Ky.,0-3,3.0,0,29.0,19.0,102.0,0.098,27.0,1.0,6.0,36.0,7.0,0.0,2.0,0.0,31.0,0.0,Western Ky.,3,9.666666666666666,6.333333333333333,34.0,9.0,0.3333333333333333,2.0,12.0,2.333333333333333,0.0,0.6666666666666666,0.0,10.333333333333334,0.0
