date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,Montana St. @ USAFA,2-3,5.0,0,55.0,22.0,181.0,0.182,52.0,4.0,5.0,79.0,9.0,1.0,20.0,8.0,70.0,3.0,Montana St.
08/27/2016,Jacksonville St. @ USAFA,3-0,3.0,0,38.0,10.0,104.0,0.269,37.0,7.0,4.0,41.0,2.0,1.0,22.0,1.0,57.0,1.0,Jacksonville St.
08/27/2016,@ Air Force,3-2,5.0,0,52.0,18.0,136.0,0.25,51.0,9.0,5.0,57.0,10.0,1.0,24.0,3.0,74.0,2.0,Air Force
09/02/2016,Eastern Ky.,3-1,4.0,0,47.0,15.0,116.0,0.276,44.0,4.0,10.0,52.0,5.0,1.0,16.0,1.0,60.0,2.0,Eastern Ky.
09/03/2016,Eastern Wash.,3-0,3.0,0,33.0,9.0,104.0,0.231,32.0,3.0,6.0,37.0,0.0,1.0,10.0,5.0,42.0,3.0,Eastern Wash.
09/03/2016,Cal St. Fullerton,1-3,4.0,0,53.0,21.0,163.0,0.196,49.0,8.0,10.0,67.0,5.0,1.0,14.0,1.0,69.0,1.0,Cal St. Fullerton
09/09/2016,"Santa Clara @ Berkeley, Calif.",0-3,3.0,0,31.0,25.0,101.0,0.059,29.0,3.0,5.0,35.0,8.0,4.0,6.0,2.0,41.0,1.0,Santa Clara
09/10/2016,"West Virginia @ Berkeley, Calif.",0-3,3.0,0,29.0,19.0,85.0,0.118,29.0,3.0,5.0,26.0,6.0,0.0,6.0,2.0,35.0,1.0,West Virginia
09/10/2016,@ California,0-3,3.0,0,25.0,20.0,104.0,0.048,24.0,6.0,5.0,31.0,1.0,1.0,8.0,3.0,36.0,0.0,California
09/16/2016,"Cal Poly @ Sacramento, Calif.",1-3,4.0,0,49.0,18.0,127.0,0.244,43.0,3.0,14.0,41.0,3.0,1.0,12.0,4.0,59.0,0.0,Cal Poly
09/17/2016,@ Sacramento St.,0-3,3.0,0,35.0,13.0,96.0,0.229,32.0,3.0,8.0,43.0,6.0,0.0,8.0,1.0,42.0,1.0,Sacramento St.
09/17/2016,"Nevada @ Sacramento, Calif.",0-3,3.0,0,38.0,16.0,81.0,0.272,36.0,4.0,5.0,26.0,8.0,1.0,6.0,3.0,46.0,0.0,Nevada
09/23/2016,@ CSU Bakersfield,0-3,3.0,0,23.0,11.0,77.0,0.156,23.0,3.0,7.0,21.0,10.0,4.0,10.0,0.0,35.0,0.0,CSU Bakersfield
09/29/2016,UTRGV,1-3,4.0,0,40.0,25.0,136.0,0.11,38.0,7.0,6.0,56.0,6.0,2.0,6.0,4.0,52.0,1.0,UTRGV
10/01/2016,New Mexico St.,0-3,3.0,0,30.0,13.0,77.0,0.221,27.0,4.0,5.0,22.0,8.0,4.0,10.0,1.0,43.0,0.0,New Mexico St.
10/06/2016,@ Chicago St.,2-3,5.0,0,60.0,26.0,144.0,0.236,58.0,5.0,10.0,54.0,9.0,3.0,28.0,2.0,82.0,1.0,Chicago St.
10/08/2016,@ Kansas City,2-3,5.0,0,52.0,22.0,134.0,0.224,50.0,3.0,6.0,52.0,6.0,1.0,20.0,3.0,66.0,0.0,Kansas City
10/13/2016,Seattle U,2-3,5.0,0,44.0,23.0,119.0,0.176,37.0,7.0,4.0,52.0,10.0,2.0,6.0,0.0,56.0,1.0,Seattle U
10/15/2016,Utah Valley,1-3,4.0,0,41.0,29.0,139.0,0.086,39.0,5.0,7.0,47.0,5.0,1.0,14.0,2.0,54.0,1.0,Utah Valley
10/21/2016,CSU Bakersfield,0-3,3.0,0,30.0,21.0,99.0,0.091,27.0,4.0,2.0,36.0,7.0,1.0,6.0,2.0,38.0,2.0,CSU Bakersfield
10/27/2016,@ New Mexico St.,0-3,3.0,0,25.0,16.0,91.0,0.099,25.0,1.0,1.0,37.0,7.0,0.0,10.0,2.0,31.0,1.0,New Mexico St.
10/29/2016,@ UTRGV,0-3,3.0,0,30.0,18.0,109.0,0.11,29.0,4.0,1.0,43.0,8.0,1.0,8.0,2.0,39.0,0.0,UTRGV
11/03/2016,Kansas City,0-3,3.0,0,28.0,17.0,101.0,0.109,28.0,3.0,6.0,39.0,5.0,0.0,0.0,1.0,31.0,2.0,Kansas City
11/05/2016,Chicago St.,3-1,4.0,0,52.0,15.0,117.0,0.316,49.0,6.0,7.0,41.0,6.0,3.0,22.0,4.0,72.0,0.0,Chicago St.
11/10/2016,@ Utah Valley,0-3,3.0,0,41.0,16.0,112.0,0.223,40.0,6.0,8.0,45.0,2.0,1.0,8.0,2.0,52.0,1.0,Utah Valley
11/12/2016,@ Seattle U,2-3,5.0,0,38.0,29.0,154.0,0.058,36.0,11.0,7.0,70.0,7.0,4.0,16.0,1.0,61.0,3.0,Seattle U
11/17/2016,Benedictine Mesa,3-0,3.0,0,40.0,7.0,90.0,0.367,34.0,10.0,4.0,44.0,3.0,1.0,8.0,2.0,55.0,1.0,Benedictine Mesa
