date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,"Pacific @ Cedar City, Utah",2-3,5.0,0,68.0,30.0,208.0,0.183,68.0,2.0,3.0,100.0,3.0,8.0,4.0,77.0,0.0,Pacific
08/26/2011,@ Southern Utah,3-0,3.0,0,36.0,9.0,68.0,0.397,35.0,6.0,0.0,37.0,1.0,10.0,0.0,48.0,1.0,Southern Utah
08/27/2011,"Drake @ Cedar City, Utah",3-2,5.0,0,64.0,34.0,189.0,0.159,61.0,8.0,5.0,82.0,0.0,28.0,1.0,86.0,0.0,Drake
08/31/2011,@ Eastern Wash.,2-3,5.0,0,64.0,29.0,187.0,0.187,59.0,4.0,5.0,81.0,1.0,6.0,2.0,72.0,0.0,Eastern Wash.
09/02/2011,@ Gonzaga,3-1,4.0,0,52.0,24.0,171.0,0.164,49.0,3.0,12.0,68.0,1.0,14.0,1.0,63.0,4.0,Gonzaga
09/03/2011,"Washington @ Spokane, Wash.",0-3,3.0,0,33.0,18.0,98.0,0.153,32.0,2.0,4.0,40.0,2.0,6.0,1.0,40.0,0.0,Washington
09/03/2011,"Portland St. @ Spokane, Wash.",3-1,4.0,0,50.0,25.0,143.0,0.175,49.0,7.0,7.0,55.0,3.0,12.0,2.0,66.0,1.0,Portland St.
09/13/2011,@ Weber St.,3-0,3.0,0,44.0,8.0,83.0,0.434,41.0,7.0,12.0,37.0,2.0,2.0,0.0,54.0,2.0,Weber St.
09/16/2011,"Texas Southern @ Norman, Okla.",3-0,3.0,0,45.0,7.0,65.0,0.585,41.0,7.0,7.0,19.0,1.0,10.0,1.0,58.0,0.0,Texas Southern
09/16/2011,"Ark.-Pine Bluff @ Norman, Okla.",3-0,3.0,0,49.0,9.0,93.0,0.43,45.0,5.0,5.0,40.0,2.0,2.0,3.0,57.0,0.0,Ark.-Pine Bluff
09/17/2011,@ Oklahoma,2-3,5.0,0,56.0,19.0,146.0,0.253,54.0,3.0,3.0,56.0,1.0,16.0,5.0,68.0,0.0,Oklahoma
09/17/2011,"Little Rock @ Norman, Okla.",3-0,3.0,0,50.0,13.0,104.0,0.356,45.0,2.0,5.0,43.0,1.0,8.0,2.0,57.0,0.0,Little Rock
09/22/2011,@ Wyoming,3-2,5.0,0,58.0,33.0,161.0,0.155,55.0,2.0,3.0,66.0,0.0,18.0,0.0,69.0,0.0,Wyoming
09/24/2011,@ Colorado St.,0-3,3.0,0,26.0,22.0,103.0,0.039,23.0,6.0,2.0,35.0,0.0,8.0,0.0,36.0,1.0,Colorado St.
09/26/2011,Weber St.,3-0,3.0,0,45.0,13.0,94.0,0.34,43.0,6.0,3.0,43.0,1.0,2.0,1.0,53.0,0.0,Weber St.
09/29/2011,TCU,2-3,5.0,0,59.0,23.0,167.0,0.216,56.0,7.0,6.0,74.0,1.0,16.0,5.0,75.0,0.0,TCU
10/01/2011,New Mexico,1-3,4.0,0,66.0,30.0,182.0,0.198,66.0,3.0,3.0,69.0,2.0,26.0,1.0,84.0,0.0,New Mexico
10/04/2011,Seattle U,1-3,4.0,0,52.0,30.0,154.0,0.143,50.0,1.0,8.0,64.0,1.0,18.0,2.0,63.0,0.0,Seattle U
10/08/2011,@ Air Force,3-0,3.0,0,33.0,7.0,75.0,0.347,31.0,8.0,4.0,32.0,0.0,12.0,1.0,47.0,1.0,Air Force
10/10/2011,@ Utah Valley,1-3,4.0,0,44.0,25.0,147.0,0.129,40.0,4.0,8.0,51.0,0.0,22.0,1.0,59.0,0.0,Utah Valley
10/13/2011,@ UNLV,3-2,5.0,0,60.0,28.0,189.0,0.169,55.0,6.0,12.0,82.0,2.0,19.0,3.0,77.5,0.0,UNLV
10/15/2011,@ San Diego St.,0-3,3.0,0,22.0,11.0,74.0,0.149,20.0,3.0,7.0,24.0,1.0,8.0,3.0,30.0,1.0,San Diego St.
10/20/2011,Colorado St.,0-3,3.0,0,33.0,24.0,98.0,0.092,31.0,3.0,4.0,32.0,0.0,4.0,2.0,38.0,1.0,Colorado St.
10/22/2011,Wyoming,3-1,4.0,0,56.0,21.0,131.0,0.267,52.0,10.0,8.0,50.0,3.0,8.0,1.0,73.0,2.0,Wyoming
10/27/2011,@ New Mexico,0-3,3.0,0,33.0,19.0,111.0,0.126,32.0,1.0,5.0,36.0,0.0,16.0,1.0,42.0,4.0,New Mexico
10/29/2011,@ TCU,0-3,3.0,0,39.0,15.0,125.0,0.192,37.0,3.0,1.0,59.0,1.0,8.0,1.0,47.0,2.0,TCU
11/01/2011,Utah Valley,3-1,4.0,0,70.0,24.0,160.0,0.288,66.0,4.0,6.0,64.0,0.0,24.0,1.0,86.0,1.0,Utah Valley
11/04/2011,Air Force,3-0,3.0,0,42.0,7.0,93.0,0.376,37.0,2.0,1.0,44.0,0.0,17.0,5.0,52.5,1.0,Air Force
11/10/2011,San Diego St.,0-3,3.0,0,28.0,18.0,99.0,0.101,26.0,3.0,5.0,31.0,2.0,8.0,3.0,37.0,1.0,San Diego St.
11/12/2011,UNLV,3-2,5.0,0,71.0,23.0,182.0,0.264,66.0,6.0,4.0,76.0,1.0,14.0,2.0,85.0,2.0,UNLV
11/18/2011,"TCU @ Albuquerque, N.M.",0-3,3.0,0,40.0,19.0,105.0,0.2,40.0,1.0,4.0,41.0,1.0,10.0,4.0,47.0,2.0,TCU
