date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/31/2012,@  UC-Colo. Springs,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC-Colo. Springs
08/31/2012,@  UC San Diego,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC San Diego
09/01/2012,@  Central Wash.,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Wash.
09/01/2012,@  CSUSB,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSUSB
09/04/2012,@  Western N.M.,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western N.M.
09/06/2012,@  Colorado Mesa,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado Mesa
09/07/2012,@  Fort Hays St.,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fort Hays St.
09/07/2012,@  Okla. Panhandle,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Okla. Panhandle
09/08/2012,@  Western Colo.,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Colo.
09/08/2012,@  Texas Woman's,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas Woman's
09/15/2012,@  Fresno Pacific,0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresno Pacific
09/19/2012,@  Hawaii Hilo,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii Hilo
09/22/2012,@  Chaminade,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chaminade
09/24/2012,@  BYU-Hawaii,0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BYU-Hawaii
09/25/2012,@  Hawaii Pacific,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii Pacific
09/29/2012,@  Azusa Pacific,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azusa Pacific
10/05/2012,@  California Baptist,2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California Baptist
10/06/2012,@  Azusa Pacific,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azusa Pacific
10/11/2012,@  Holy Names,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy Names
10/13/2012,@  Dominican (CA),3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominican 
10/16/2012,@ Arizona Christian,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona Christian
10/20/2012,@  Point Loma,1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Point Loma
10/22/2012,@  Utah Tech,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah Tech
10/25/2012,@  Point Loma,2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Point Loma
10/27/2012,@  California Baptist,3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California Baptist
11/01/2012,@  Notre Dame de Namur,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notre Dame de Namur
11/03/2012,@  Academy of Art,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Academy of Art
11/10/2012,@  Utah Tech,3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah Tech
11/29/2012,@  San Fran. St.,3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Fran. St.
11/30/2012,@  CSUSB,2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSUSB
