date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2019,"Eastern Wash. @ Moscow, ID",3-0,3.0,1.0,0,36.0,10.0,105.0,0.248,34.0,5.0,5.0,57.0,3.0,1.0,10.0,1.0,0.0,1.0,Eastern Wash.
08/30/2019,"UIC @ Moscow, ID",2-3,5.0,1.0,0,55.0,23.0,208.0,0.154,43.0,2.0,7.0,94.0,4.0,6.0,12.0,6.0,69.0,0.0,UIC
08/31/2019,@ Idaho,3-1,4.0,1.0,0,66.0,29.0,179.0,0.207,61.0,7.0,2.0,83.0,3.0,4.0,10.0,2.0,0.0,2.0,Idaho
09/05/2019,@ Chicago St.,3-2,5.0,1.0,0,62.0,32.0,187.0,0.16,55.0,5.0,11.0,108.0,5.0,4.0,12.0,0.0,77.0,3.0,Chicago St.
09/06/2019,"Western Caro. @ Chicago, IL",3-0,3.0,1.0,0,44.0,13.0,141.0,0.22,44.0,1.0,6.0,80.0,3.0,3.0,8.0,0.0,52.0,1.0,Western Caro.
09/07/2019,"Alabama St. @ Chicago, IL",3-0,3.0,1.0,0,44.0,13.0,111.0,0.279,40.0,3.0,6.0,57.0,1.0,3.0,8.0,0.0,54.0,2.0,Alabama St.
09/12/2019,@ Abilene Christian,3-0,3.0,1.0,0,46.0,14.0,113.0,0.283,41.0,3.0,5.0,62.0,4.0,1.0,2.0,2.0,51.0,4.0,Abilene Christian
09/13/2019,"North Texas @ Abilene, TX",0-3,3.0,1.0,0,29.0,21.0,126.0,0.063,27.0,1.0,3.0,48.0,3.0,1.0,8.0,1.0,35.0,4.0,North Texas
09/14/2019,"Prairie View @ Abilene, TX",3-2,5.0,1.0,0,68.0,24.0,187.0,0.235,64.0,5.0,9.0,91.0,6.0,1.0,14.0,1.0,81.0,2.0,Prairie View
09/20/2019,"Seattle U @ Riverside, CA",2-3,5.0,1.0,0,54.0,25.0,173.0,0.168,48.0,6.0,1.0,71.0,5.0,0.0,16.0,2.0,68.0,1.0,Seattle U
09/21/2019,"Penn @ Riverside, CA",3-2,5.0,1.0,0,51.0,14.0,147.0,0.252,46.0,8.0,8.0,68.0,6.0,2.0,16.0,2.0,69.0,1.0,Penn
09/24/2019,@ UC Riverside,1-3,4.0,1.0,0,48.0,28.0,184.0,0.109,45.0,3.0,2.0,82.0,3.0,3.0,28.0,0.0,68.0,0.0,UC Riverside
09/27/2019,Cal Poly,0-3,3.0,1.0,0,25.0,10.0,99.0,0.152,23.0,1.0,4.0,37.0,6.0,0.0,10.0,2.0,31.0,2.0,Cal Poly
09/28/2019,UC Santa Barbara,0-3,3.0,1.0,0,30.0,26.0,125.0,0.032,28.0,3.0,1.0,39.0,3.0,0.0,4.0,0.0,35.0,0.0,UC Santa Barbara
10/05/2019,@ Hawaii,2-3,5.0,1.0,0,51.0,29.0,201.0,0.109,45.0,5.0,5.0,107.0,5.0,1.0,16.0,3.0,65.0,0.0,Hawaii
10/12/2019,@ UC Irvine,3-1,4.0,1.0,0,48.0,17.0,147.0,0.211,46.0,7.0,4.0,72.0,3.0,0.0,10.0,0.0,60.0,2.0,UC Irvine
10/18/2019,@ Long Beach St.,3-0,3.0,1.0,0,40.0,8.0,93.0,0.344,36.0,1.0,3.0,39.0,5.0,0.0,14.0,0.0,48.0,1.0,Long Beach St.
10/19/2019,@ CSUN,0-3,3.0,1.0,0,36.0,15.0,108.0,0.194,32.0,1.0,2.0,48.0,4.0,1.0,16.0,2.0,46.0,1.0,CSUN
10/25/2019,Hawaii,0-3,3.0,1.0,0,25.0,22.0,117.0,0.026,22.0,4.0,1.0,50.0,4.0,0.0,6.0,1.0,32.0,3.0,Hawaii
11/02/2019,UC Irvine,3-1,4.0,1.0,0,50.0,16.0,154.0,0.221,49.0,6.0,6.0,74.0,5.0,1.0,14.0,1.0,64.0,2.0,UC Irvine
11/05/2019,@ UC Davis,1-3,4.0,0.0,0,37.0,24.0,141.0,0.092,32.0,1.0,5.0,68.0,6.0,0.0,10.0,0.0,43.0,0.0,UC Davis
11/08/2019,CSUN,1-3,4.0,1.0,0,50.0,32.0,157.0,0.115,48.0,2.0,2.0,82.0,7.0,2.0,4.0,1.0,56.0,4.0,CSUN
11/09/2019,Long Beach St.,0-3,3.0,1.0,0,31.0,13.0,95.0,0.189,25.0,3.0,6.0,38.0,5.0,0.0,8.0,0.0,38.0,1.0,Long Beach St.
11/15/2019,UC Davis,0-3,3.0,1.0,0,32.0,17.0,103.0,0.146,30.0,4.0,2.0,40.0,3.0,1.0,2.0,2.0,38.0,0.0,UC Davis
11/16/2019,UC Riverside,3-0,3.0,1.0,0,50.0,14.0,133.0,0.271,47.0,1.0,5.0,72.0,1.0,3.0,12.0,1.0,60.0,0.0,UC Riverside
11/22/2019,@ UC Santa Barbara,0-3,3.0,0.0,0,31.0,19.0,91.0,0.132,30.0,0.0,7.0,36.0,4.0,1.0,6.0,0.0,35.0,0.0,UC Santa Barbara
11/23/2019,@ Cal Poly,1-3,4.0,0.0,0,42.0,23.0,128.0,0.148,38.0,5.0,7.0,41.0,7.0,2.0,12.0,1.0,55.0,2.0,Cal Poly
