date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,@ Lipscomb,3-0,3.0,44.0,10.0,78.0,0.436,38.0,7.0,7.0,23.0,43.0,3.0,2.0,14.0,1.0,9.0,60.0,0.0,Lipscomb,3,14.666666666666666,3.3333333333333335,26.0,12.666666666666666,2.3333333333333335,2.3333333333333335,7.666666666666667,1.0,0.6666666666666666,4.666666666666667,0.3333333333333333,20.0
08/27/2022,@ Tennessee St.,3-0,3.0,38.0,11.0,90.0,0.3,37.0,7.0,3.0,32.0,42.0,3.0,1.0,16.0,1.0,9.0,54.0,0.0,Tennessee St.,3,12.666666666666666,3.6666666666666665,30.0,12.333333333333334,2.3333333333333335,1.0,10.666666666666666,1.0,0.3333333333333333,5.333333333333333,0.3333333333333333,18.0
08/30/2022,@ Florida,3-2,5.0,64.0,31.0,160.0,0.206,58.0,4.0,21.0,47.0,100.0,7.0,1.0,30.0,1.0,16.0,84.0,0.0,Florida,5,12.8,6.2,32.0,11.6,0.8,4.2,9.4,1.4,0.2,6.0,0.2,16.8
09/04/2022,Texas,0-3,3.0,36.0,16.0,104.0,0.192,36.0,2.0,6.0,35.0,68.0,1.0,1.0,12.0,2.0,7.0,45.0,0.0,Texas,3,12.0,5.333333333333333,34.666666666666664,12.0,0.6666666666666666,2.0,11.666666666666666,0.3333333333333333,0.3333333333333333,4.0,0.6666666666666666,15.0
09/09/2022,"Penn St. @ Minneapolis, MN",2-3,5.0,62.0,33.0,156.0,0.186,57.0,3.0,14.0,55.0,100.0,8.0,0.0,27.0,1.0,13.5,78.5,0.0,Penn St.,5,12.4,6.6,31.2,11.4,0.6,2.8,11.0,1.6,0.0,5.4,0.2,15.7
09/10/2022,@ Minnesota,3-1,4.0,54.0,19.0,130.0,0.269,52.0,9.0,12.0,54.0,69.0,5.0,3.0,20.0,1.0,13.0,76.0,0.0,Minnesota,4,13.5,4.75,32.5,13.0,2.25,3.0,13.5,1.25,0.75,5.0,0.25,19.0
09/13/2022,@ Nebraska,3-1,4.0,55.0,21.0,161.0,0.211,52.0,4.0,23.0,64.0,84.0,3.0,0.0,20.0,1.0,10.0,69.0,0.0,Nebraska,4,13.75,5.25,40.25,13.0,1.0,5.75,16.0,0.75,0.0,5.0,0.25,17.25
09/17/2022,Louisville,1-3,4.0,49.0,23.0,132.0,0.197,46.0,5.0,13.0,50.0,80.0,3.0,2.0,16.0,0.0,10.0,64.0,1.0,Louisville,4,12.25,5.75,33.0,11.5,1.25,3.25,12.5,0.75,0.5,4.0,0.0,16.0
09/21/2022,@ California,3-0,3.0,53.0,16.0,107.0,0.346,49.0,5.0,14.0,33.0,64.0,3.0,0.0,16.0,0.0,8.0,66.0,0.0,California,3,17.666666666666668,5.333333333333333,35.666666666666664,16.333333333333332,1.6666666666666667,4.666666666666667,11.0,1.0,0.0,5.333333333333333,0.0,22.0
09/25/2022,@ Oregon,0-3,3.0,42.0,13.0,116.0,0.25,39.0,2.0,13.0,47.0,70.0,5.0,1.0,6.0,1.0,4.0,48.0,0.0,Oregon,3,14.0,4.333333333333333,38.666666666666664,13.0,0.6666666666666666,4.333333333333333,15.666666666666666,1.6666666666666667,0.3333333333333333,2.0,0.3333333333333333,16.0
09/30/2022,Washington,3-1,4.0,65.0,14.0,151.0,0.338,61.0,5.0,11.0,67.0,76.0,3.0,1.0,26.0,5.0,14.0,84.0,0.0,Washington,4,16.25,3.5,37.75,15.25,1.25,2.75,16.75,0.75,0.25,6.5,1.25,21.0
10/02/2022,Washington St.,3-1,4.0,45.0,18.0,126.0,0.214,43.0,8.0,15.0,55.0,70.0,4.0,3.0,22.0,2.0,14.0,67.0,0.0,Washington St.,4,11.25,4.5,31.5,10.75,2.0,3.75,13.75,1.0,0.75,5.5,0.5,16.75
10/07/2022,@ Colorado,3-1,4.0,67.0,23.0,159.0,0.277,66.0,6.0,7.0,65.0,77.0,6.0,0.0,20.0,1.0,10.0,83.0,0.0,Colorado,4,16.75,5.75,39.75,16.5,1.5,1.75,16.25,1.5,0.0,5.0,0.25,20.75
10/09/2022,@ Utah,3-0,3.0,50.0,14.0,110.0,0.327,47.0,2.0,6.0,38.0,61.0,1.0,1.0,14.0,3.0,8.0,60.0,0.0,Utah,3,16.666666666666668,4.666666666666667,36.666666666666664,15.666666666666666,0.6666666666666666,2.0,12.666666666666666,0.3333333333333333,0.3333333333333333,4.666666666666667,1.0,20.0
