date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,"Little Rock @ Jonesboro, AR",3-0,3.0,35.0,19.0,91.0,0.176,34.0,12.0,10.0,43.0,53.0,4.0,1.0,12.0,4.0,7.0,54.0,1.0,Little Rock,3,11.666666666666666,6.333333333333333,30.333333333333332,11.333333333333334,4.0,3.3333333333333335,14.333333333333334,1.3333333333333333,0.3333333333333333,4.0,1.3333333333333333,18.0
08/26/2022,@ Arkansas St.,3-2,5.0,52.0,22.0,172.0,0.174,47.0,9.0,6.0,76.0,95.0,10.0,2.0,4.0,3.0,4.0,65.0,2.0,Arkansas St.,5,10.4,4.4,34.4,9.4,1.8,1.2,15.2,2.0,0.4,0.8,0.6,13.0
08/27/2022,"Mississippi Val. @ Jonesboro, AR",3-0,3.0,31.0,16.0,75.0,0.2,28.0,16.0,6.0,30.0,25.0,0.0,1.0,0.0,1.0,1.0,48.0,0.0,Mississippi Val.,3,10.333333333333334,5.333333333333333,25.0,9.333333333333334,5.333333333333333,2.0,10.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0
09/02/2022,Youngstown St.,3-0,3.0,36.0,17.0,90.0,0.211,32.0,12.0,6.0,42.0,41.0,1.0,1.0,10.0,1.0,6.0,54.0,0.0,Youngstown St.,3,12.0,5.666666666666667,30.0,10.666666666666666,4.0,2.0,14.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.3333333333333333,18.0
09/03/2022,St. Thomas (MN),2-3,5.0,65.0,30.0,162.0,0.216,63.0,15.0,10.0,74.0,91.0,13.0,3.0,9.0,4.0,7.5,87.5,1.0,St. Thomas ,5,13.0,6.0,32.4,12.6,3.0,2.0,14.8,2.6,0.6,1.8,0.8,17.5
09/03/2022,Central Mich.,0-3,3.0,34.0,22.0,89.0,0.135,34.0,5.0,7.0,29.0,69.0,8.0,1.0,6.0,1.0,4.0,43.0,0.0,Central Mich.,3,11.333333333333334,7.333333333333333,29.666666666666668,11.333333333333334,1.6666666666666667,2.3333333333333335,9.666666666666666,2.6666666666666665,0.3333333333333333,2.0,0.3333333333333333,14.333333333333334
09/09/2022,"Eastern Mich. @ Chicago, IL",3-2,5.0,67.0,33.0,156.0,0.218,65.0,9.0,10.0,58.0,98.0,8.0,1.0,17.0,5.0,9.5,85.5,2.0,Eastern Mich.,5,13.4,6.6,31.2,13.0,1.8,2.0,11.6,1.6,0.2,3.4,1.0,17.1
09/10/2022,"Virginia Tech @ Chicago, IL",3-1,4.0,54.0,14.0,109.0,0.367,53.0,13.0,7.0,45.0,71.0,9.0,1.0,6.0,1.0,4.0,71.0,2.0,Virginia Tech,4,13.5,3.5,27.25,13.25,3.25,1.75,11.25,2.25,0.25,1.5,0.25,17.75
09/10/2022,@ DePaul,1-3,4.0,52.0,32.0,177.0,0.113,50.0,11.0,12.0,70.0,96.0,4.0,1.0,14.0,3.0,8.0,71.0,2.0,DePaul,4,13.0,8.0,44.25,12.5,2.75,3.0,17.5,1.0,0.25,3.5,0.75,17.75
09/16/2022,Missouri St.,3-1,4.0,48.0,15.0,122.0,0.27,43.0,6.0,11.0,54.0,77.0,3.0,1.0,22.0,0.0,12.0,66.0,0.0,Missouri St.,4,12.0,3.75,30.5,10.75,1.5,2.75,13.5,0.75,0.25,5.5,0.0,16.5
09/17/2022,Kansas City,3-2,5.0,67.0,29.0,180.0,0.211,62.0,10.0,9.0,81.0,91.0,7.0,3.0,13.0,1.0,9.5,86.5,0.0,Kansas City,5,13.4,5.8,36.0,12.4,2.0,1.8,16.2,1.4,0.6,2.6,0.2,17.3
09/17/2022,Iowa St.,2-3,5.0,59.0,21.0,143.0,0.266,54.0,9.0,13.0,52.0,105.0,15.0,1.0,17.0,2.0,9.5,77.5,0.0,Iowa St.,5,11.8,4.2,28.6,10.8,1.8,2.6,10.4,3.0,0.2,3.4,0.4,15.5
09/23/2022,@ Rhode Island,3-2,5.0,65.0,30.0,177.0,0.198,60.0,7.0,10.0,62.0,97.0,8.0,1.0,14.0,3.0,8.0,80.0,0.0,Rhode Island,5,13.0,6.0,35.4,12.0,1.4,2.0,12.4,1.6,0.2,2.8,0.6,16.0
09/24/2022,@ Rhode Island,3-2,5.0,54.0,26.0,149.0,0.188,49.0,8.0,5.0,62.0,88.0,7.0,1.0,12.0,2.0,7.0,69.0,1.0,Rhode Island,5,10.8,5.2,29.8,9.8,1.6,1.0,12.4,1.4,0.2,2.4,0.4,13.8
09/30/2022,George Mason,3-0,3.0,43.0,8.0,83.0,0.422,40.0,13.0,10.0,30.0,44.0,0.0,0.0,8.0,1.0,4.0,60.0,0.0,George Mason,3,14.333333333333334,2.6666666666666665,27.666666666666668,13.333333333333334,4.333333333333333,3.3333333333333335,10.0,0.0,0.0,2.6666666666666665,0.3333333333333333,20.0
10/01/2022,George Mason,3-0,3.0,48.0,16.0,99.0,0.323,45.0,9.0,6.0,36.0,51.0,1.0,2.0,8.0,0.0,6.0,63.0,0.0,George Mason,3,16.0,5.333333333333333,33.0,15.0,3.0,2.0,12.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.0,21.0
10/04/2022,Loyola Chicago,1-3,4.0,41.0,32.0,134.0,0.067,39.0,5.0,12.0,47.0,87.0,8.0,0.0,12.0,1.0,6.0,52.0,0.0,Loyola Chicago,4,10.25,8.0,33.5,9.75,1.25,3.0,11.75,2.0,0.0,3.0,0.25,13.0
10/07/2022,@ George Washington,2-3,5.0,51.0,28.0,164.0,0.14,46.0,5.0,8.0,76.0,86.0,4.0,0.0,10.0,2.0,5.0,61.0,0.0,George Washington,5,10.2,5.6,32.8,9.2,1.0,1.6,15.2,0.8,0.0,2.0,0.4,12.2
10/08/2022,@ George Washington,1-3,4.0,59.0,25.0,140.0,0.243,59.0,12.0,7.0,58.0,90.0,13.0,1.0,12.0,1.0,7.0,78.0,0.0,George Washington,4,14.75,6.25,35.0,14.75,3.0,1.75,14.5,3.25,0.25,3.0,0.25,19.5
10/14/2022,Davidson,3-1,4.0,46.0,19.0,128.0,0.211,44.0,6.0,7.0,60.0,64.0,6.0,0.0,23.0,0.0,11.5,63.5,0.0,Davidson,4,11.5,4.75,32.0,11.0,1.5,1.75,15.0,1.5,0.0,5.75,0.0,15.875
10/15/2022,Davidson,0-3,3.0,30.0,30.0,122.0,0.0,29.0,2.0,4.0,51.0,70.0,5.0,0.0,14.0,1.0,7.0,39.0,0.0,Davidson,3,10.0,10.0,40.666666666666664,9.666666666666666,0.6666666666666666,1.3333333333333333,17.0,1.6666666666666667,0.0,4.666666666666667,0.3333333333333333,13.0
10/21/2022,@ VCU,2-3,5.0,57.0,23.0,184.0,0.185,54.0,6.0,7.0,73.0,101.0,1.0,4.0,16.0,1.0,12.0,75.0,2.0,VCU,5,11.4,4.6,36.8,10.8,1.2,1.4,14.6,0.2,0.8,3.2,0.2,15.0
10/22/2022,@ VCU,0-3,3.0,39.0,20.0,136.0,0.14,36.0,6.0,3.0,54.0,73.0,5.0,1.0,10.0,1.0,6.0,51.0,0.0,VCU,3,13.0,6.666666666666667,45.333333333333336,12.0,2.0,1.0,18.0,1.6666666666666667,0.3333333333333333,3.3333333333333335,0.3333333333333333,17.0
10/25/2022,@ Loyola Chicago,1-3,4.0,39.0,28.0,152.0,0.072,37.0,8.0,5.0,58.0,91.0,5.0,0.0,10.0,3.0,5.0,52.0,0.0,Loyola Chicago,4,9.75,7.0,38.0,9.25,2.0,1.25,14.5,1.25,0.0,2.5,0.75,13.0
10/28/2022,Dayton,3-1,4.0,54.0,18.0,142.0,0.254,51.0,5.0,8.0,67.0,76.0,7.0,0.0,12.0,1.0,6.0,65.0,0.0,Dayton,4,13.5,4.5,35.5,12.75,1.25,2.0,16.75,1.75,0.0,3.0,0.25,16.25
10/29/2022,Dayton,3-1,4.0,53.0,20.0,161.0,0.205,47.0,7.0,6.0,69.0,86.0,9.0,4.0,16.0,0.0,12.0,72.0,0.0,Dayton,4,13.25,5.0,40.25,11.75,1.75,1.5,17.25,2.25,1.0,4.0,0.0,18.0
11/04/2022,@ Fordham,3-1,4.0,49.0,12.0,143.0,0.259,44.0,7.0,7.0,72.0,71.0,7.0,1.0,16.0,1.0,9.0,65.0,0.0,Fordham,4,12.25,3.0,35.75,11.0,1.75,1.75,18.0,1.75,0.25,4.0,0.25,16.25
11/05/2022,@ Fordham,3-0,3.0,48.0,12.0,118.0,0.305,44.0,2.0,7.0,65.0,55.0,4.0,3.0,14.0,3.0,10.0,60.0,1.0,Fordham,3,16.0,4.0,39.333333333333336,14.666666666666666,0.6666666666666666,2.3333333333333335,21.666666666666668,1.3333333333333333,1.0,4.666666666666667,1.0,20.0
11/11/2022,Duquesne,3-0,3.0,44.0,12.0,97.0,0.33,42.0,5.0,9.0,46.0,50.0,6.0,0.0,6.0,1.0,3.0,52.0,0.0,Duquesne,3,14.666666666666666,4.0,32.333333333333336,14.0,1.6666666666666667,3.0,15.333333333333334,2.0,0.0,2.0,0.3333333333333333,17.333333333333332
11/12/2022,Duquesne,1-3,4.0,58.0,27.0,153.0,0.203,51.0,4.0,10.0,57.0,91.0,11.0,2.0,14.0,2.0,9.0,71.0,0.0,Duquesne,4,14.5,6.75,38.25,12.75,1.0,2.5,14.25,2.75,0.5,3.5,0.5,17.75
11/18/2022,@ George Washington,1-3,4.0,47.0,26.0,146.0,0.144,46.0,6.0,5.0,58.0,90.0,5.0,0.0,18.0,5.0,9.0,62.0,0.0,George Washington,4,11.75,6.5,36.5,11.5,1.5,1.25,14.5,1.25,0.0,4.5,1.25,15.5
