date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2021,"Grambling @ Denton, TX",3-0,3.0,35.0,7.0,81.0,0.346,30.0,9.0,3.0,29.0,3.0,1.0,4.0,0.0,47.0,0.0,Grambling
08/27/2021,@ North Texas,1-3,4.0,49.0,17.0,140.0,0.229,39.0,8.0,9.0,47.0,9.0,1.0,6.0,1.0,61.0,0.0,North Texas
08/28/2021,"McNeese @ Denton, Texas",3-0,3.0,30.0,11.0,90.0,0.211,27.0,6.0,8.0,31.0,2.0,3.0,12.0,0.0,45.0,0.0,McNeese
09/03/2021,Montana,3-0,3.0,49.0,15.0,118.0,0.288,45.0,4.0,11.0,50.0,2.0,0.0,10.0,1.0,58.0,0.0,Montana
09/04/2021,California Baptist,3-0,3.0,38.0,12.0,99.0,0.263,36.0,4.0,4.0,45.0,6.0,3.0,24.0,0.0,57.0,1.0,California Baptist
09/10/2021,@ Toledo,2-3,5.0,58.0,28.0,155.0,0.194,50.0,0.0,6.0,51.0,11.0,6.0,10.0,0.0,69.0,1.0,Toledo
09/11/2021,"Youngstown St. @ Toledo, OH",3-2,5.0,70.0,22.0,182.0,0.264,65.0,6.0,7.0,82.0,10.0,4.0,8.0,0.0,84.0,1.0,Youngstown St.
09/11/2021,"Valparaiso @ Toledo, OH",3-0,3.0,39.0,14.0,105.0,0.238,39.0,7.0,4.0,49.0,2.0,5.0,20.0,0.0,61.0,0.0,Valparaiso
09/17/2021,Southeastern La.,3-2,5.0,66.0,20.0,159.0,0.289,62.0,4.0,11.0,69.0,5.0,3.0,26.0,2.0,86.0,1.0,Southeastern La.
09/17/2021,Idaho,3-0,3.0,38.0,14.0,83.0,0.289,32.0,7.0,4.0,30.0,5.0,0.0,12.0,2.0,51.0,0.0,Idaho
09/18/2021,Drake,0-3,3.0,33.0,18.0,110.0,0.136,32.0,2.0,5.0,42.0,8.0,3.0,8.0,1.0,42.0,0.0,Drake
09/24/2021,@ South Dakota,1-3,4.0,42.0,13.0,120.0,0.242,39.0,3.0,10.0,47.0,2.0,0.0,4.0,4.0,47.0,2.0,South Dakota
09/28/2021,North Dakota,3-1,4.0,64.0,25.0,156.0,0.25,60.0,6.0,12.0,71.0,2.0,3.0,16.0,2.0,81.0,1.0,North Dakota
09/30/2021,@ Kansas City,0-3,3.0,38.0,20.0,115.0,0.157,34.0,1.0,4.0,52.0,4.0,2.0,6.0,0.0,44.0,1.0,Kansas City
10/02/2021,@ Oral Roberts,2-3,5.0,58.0,19.0,155.0,0.252,55.0,7.0,15.0,54.0,3.0,0.0,12.0,4.0,71.0,2.0,Oral Roberts
10/07/2021,Western Ill.,3-1,4.0,58.0,19.0,162.0,0.241,51.0,10.0,9.0,72.0,7.0,2.0,14.0,2.0,77.0,0.0,Western Ill.
10/09/2021,St. Thomas (MN),3-0,3.0,47.0,5.0,79.0,0.532,44.0,8.0,6.0,29.0,2.0,0.0,16.0,1.0,63.0,1.0,St. Thomas 
10/12/2021,North Dakota St.,3-1,4.0,54.0,23.0,144.0,0.215,48.0,3.0,10.0,50.0,8.0,1.0,20.0,1.0,68.0,2.0,North Dakota St.
10/14/2021,@ Denver,0-3,3.0,26.0,17.0,92.0,0.098,24.0,0.0,4.0,33.0,9.0,1.0,10.0,1.0,32.0,1.0,Denver
10/16/2021,@ Omaha,0-3,3.0,19.0,23.0,98.0,-0.041,19.0,6.0,7.0,47.0,4.0,0.0,8.0,4.0,29.0,0.0,Omaha
10/22/2021,South Dakota,1-3,4.0,46.0,16.0,117.0,0.256,42.0,3.0,8.0,46.0,9.0,0.0,10.0,0.0,54.0,1.0,South Dakota
10/28/2021,Oral Roberts,3-2,5.0,55.0,28.0,169.0,0.16,52.0,10.0,6.0,55.0,1.0,3.0,10.0,0.0,73.0,0.0,Oral Roberts
10/30/2021,Kansas City,3-1,4.0,60.0,22.0,182.0,0.209,54.0,7.0,12.0,82.0,8.0,4.0,12.0,0.0,77.0,0.0,Kansas City
11/05/2021,@ St. Thomas (MN),3-1,4.0,53.0,23.0,134.0,0.224,49.0,14.0,4.0,66.0,6.0,1.0,12.0,0.0,74.0,0.0,St. Thomas 
11/07/2021,@ Western Ill.,3-2,5.0,81.0,31.0,214.0,0.234,70.0,6.0,11.0,92.0,7.0,0.0,22.0,0.0,98.0,4.0,Western Ill.
11/11/2021,Omaha,0-3,3.0,22.0,19.0,117.0,0.026,18.0,2.0,1.0,47.0,5.0,1.0,8.0,3.0,29.0,3.0,Omaha
11/13/2021,Denver,0-3,3.0,44.0,17.0,119.0,0.227,39.0,4.0,4.0,48.0,2.0,0.0,8.0,1.0,52.0,0.0,Denver
11/18/2021,@ North Dakota St.,3-1,4.0,54.0,27.0,163.0,0.166,47.0,10.0,6.0,68.0,4.0,1.0,14.0,2.0,72.0,1.0,North Dakota St.
11/20/2021,@ North Dakota,3-0,3.0,45.0,12.0,110.0,0.3,41.0,6.0,6.0,62.0,1.0,0.0,6.0,0.0,54.0,0.0,North Dakota
11/25/2021,"Denver @ Vermillion, SD",3-2,5.0,54.0,21.0,159.0,0.208,48.0,4.0,5.0,67.0,9.0,4.0,24.0,1.0,74.0,1.0,Denver
11/26/2021,@ South Dakota,2-3,5.0,60.0,30.0,196.0,0.153,54.0,9.0,9.0,79.0,9.0,1.0,14.0,1.0,77.0,1.0,South Dakota
