date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,@ Morgan St.,3-0,3.0,39.0,22.0,97.0,0.175,36.0,1.0,3.0,42.0,2.0,4.0,4.0,1.0,46.0,2.0,Morgan St.,3,13.0,7.333333333333333,32.333333333333336,12.0,0.3333333333333333,1.0,14.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,15.333333333333334
08/27/2021,"Navy @ Baltimore, Md.",1-3,4.0,43.0,25.0,121.0,0.149,38.0,4.0,5.0,38.0,12.0,2.0,6.0,0.0,52.0,2.0,Navy,4,10.75,6.25,30.25,9.5,1.0,1.25,9.5,0.5,1.5,0.0,13.0
08/28/2021,"Towson @ Baltimore, MD",0-3,3.0,21.0,21.0,81.0,0.0,18.0,2.0,4.0,19.0,8.0,0.0,2.0,0.0,24.0,0.0,Towson,3,7.0,7.0,27.0,6.0,0.6666666666666666,1.3333333333333333,6.333333333333333,0.0,0.6666666666666666,0.0,8.0
09/03/2021,"Radford @ Morehead, KY",3-1,4.0,48.0,27.0,139.0,0.151,41.0,11.0,8.0,65.0,5.0,0.0,8.0,0.0,63.0,3.0,Radford,4,12.0,6.75,34.75,10.25,2.75,2.0,16.25,0.0,2.0,0.0,15.75
09/03/2021,@ Morehead St.,2-3,5.0,57.0,18.0,158.0,0.247,49.0,3.0,7.0,58.0,2.0,1.0,22.0,1.0,72.0,1.0,Morehead St.,5,11.4,3.6,31.6,9.8,0.6,1.4,11.6,0.2,4.4,0.2,14.4
09/04/2021,"Evansville @ Morehead, KY",0-3,3.0,26.0,18.0,101.0,0.079,25.0,2.0,8.0,37.0,7.0,3.0,6.0,3.0,34.0,2.0,Evansville,3,8.666666666666666,6.0,33.666666666666664,8.333333333333334,0.6666666666666666,2.6666666666666665,12.333333333333334,1.0,2.0,1.0,11.333333333333334
09/10/2021,"Princeton @ Hamilton, NY",1-3,4.0,48.0,15.0,132.0,0.25,44.0,6.0,5.0,59.0,12.0,3.0,12.0,0.0,63.0,0.0,Princeton,4,12.0,3.75,33.0,11.0,1.5,1.25,14.75,0.75,3.0,0.0,15.75
09/10/2021,"Hofstra @ Hamilton, NY",0-3,3.0,33.0,18.0,112.0,0.134,30.0,7.0,5.0,39.0,6.0,8.0,0.0,1.0,48.0,0.0,Hofstra,3,11.0,6.0,37.333333333333336,10.0,2.3333333333333335,1.6666666666666667,13.0,2.6666666666666665,0.0,0.3333333333333333,16.0
09/11/2021,@ Colgate,0-3,3.0,23.0,21.0,98.0,0.02,22.0,1.0,5.0,34.0,5.0,3.0,2.0,2.0,28.0,1.0,Colgate,3,7.666666666666667,7.0,32.666666666666664,7.333333333333333,0.3333333333333333,1.6666666666666667,11.333333333333334,1.0,0.6666666666666666,0.6666666666666666,9.333333333333334
09/17/2021,"Murray St. @ Evansville, IN",0-3,3.0,27.0,24.0,93.0,0.032,23.0,3.0,7.0,27.0,4.0,2.0,6.0,0.0,35.0,1.0,Murray St.,3,9.0,8.0,31.0,7.666666666666667,1.0,2.3333333333333335,9.0,0.6666666666666666,2.0,0.0,11.666666666666666
09/17/2021,@ Evansville,0-3,3.0,16.0,18.0,80.0,-0.025,15.0,3.0,5.0,27.0,10.0,1.0,8.0,1.0,24.0,2.0,Evansville,3,5.333333333333333,6.0,26.666666666666668,5.0,1.0,1.6666666666666667,9.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,8.0
09/24/2021,@ Robert Morris,3-0,3.0,41.0,12.0,102.0,0.284,37.0,5.0,6.0,39.0,2.0,3.0,16.0,1.0,57.0,0.0,Robert Morris,3,13.666666666666666,4.0,34.0,12.333333333333334,1.6666666666666667,2.0,13.0,1.0,5.333333333333333,0.3333333333333333,19.0
09/25/2021,@ Youngstown St.,3-0,3.0,44.0,16.0,104.0,0.269,43.0,9.0,5.0,60.0,3.0,0.0,12.0,1.0,59.0,0.0,Youngstown St.,3,14.666666666666666,5.333333333333333,34.666666666666664,14.333333333333334,3.0,1.6666666666666667,20.0,0.0,4.0,0.3333333333333333,19.666666666666668
09/28/2021,IUPUI,3-2,5.0,57.0,21.0,148.0,0.243,55.0,8.0,8.0,62.0,9.0,5.0,16.0,2.0,78.0,1.0,IUPUI,5,11.4,4.2,29.6,11.0,1.6,1.6,12.4,1.0,3.2,0.4,15.6
10/01/2021,Oakland,3-0,3.0,42.0,14.0,106.0,0.264,38.0,9.0,6.0,49.0,1.0,0.0,6.0,1.0,54.0,0.0,Oakland,3,14.0,4.666666666666667,35.333333333333336,12.666666666666666,3.0,2.0,16.333333333333332,0.0,2.0,0.3333333333333333,18.0
10/07/2021,Green Bay,2-3,5.0,54.0,26.0,156.0,0.179,51.0,8.0,4.0,78.0,13.0,2.0,10.0,4.0,69.0,1.0,Green Bay,5,10.8,5.2,31.2,10.2,1.6,0.8,15.6,0.4,2.0,0.8,13.8
10/08/2021,Milwaukee,0-3,3.0,26.0,17.0,86.0,0.105,23.0,4.0,2.0,32.0,6.0,1.0,4.0,1.0,33.0,1.0,Milwaukee,3,8.666666666666666,5.666666666666667,28.666666666666668,7.666666666666667,1.3333333333333333,0.6666666666666666,10.666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,11.0
10/10/2021,UIC,1-3,4.0,52.0,20.0,142.0,0.225,49.0,3.0,9.0,55.0,11.0,2.0,16.0,2.0,65.0,3.0,UIC,4,13.0,5.0,35.5,12.25,0.75,2.25,13.75,0.5,4.0,0.5,16.25
10/12/2021,@ Purdue Fort Wayne,1-3,4.0,52.0,22.0,128.0,0.234,52.0,4.0,11.0,46.0,6.0,0.0,16.0,3.0,64.0,1.0,Purdue Fort Wayne,4,13.0,5.5,32.0,13.0,1.0,2.75,11.5,0.0,4.0,0.75,16.0
10/15/2021,@ Wright St.,0-3,3.0,21.0,27.0,105.0,-0.057,19.0,2.0,3.0,48.0,2.0,1.0,6.0,1.0,27.0,1.0,Wright St.,3,7.0,9.0,35.0,6.333333333333333,0.6666666666666666,1.0,16.0,0.3333333333333333,2.0,0.3333333333333333,9.0
10/16/2021,@ Northern Ky.,0-3,3.0,26.0,23.0,83.0,0.036,22.0,0.0,6.0,32.0,6.0,0.0,8.0,0.0,30.0,0.0,Northern Ky.,3,8.666666666666666,7.666666666666667,27.666666666666668,7.333333333333333,0.0,2.0,10.666666666666666,0.0,2.6666666666666665,0.0,10.0
10/23/2021,Youngstown St.,3-1,4.0,48.0,14.0,122.0,0.279,43.0,13.0,7.0,40.0,7.0,3.0,6.0,3.0,67.0,1.0,Youngstown St.,4,12.0,3.5,30.5,10.75,3.25,1.75,10.0,0.75,1.5,0.75,16.75
10/24/2021,Robert Morris,3-2,5.0,61.0,23.0,155.0,0.245,59.0,10.0,10.0,64.0,14.0,1.0,12.0,0.0,78.0,1.0,Robert Morris,5,12.2,4.6,31.0,11.8,2.0,2.0,12.8,0.2,2.4,0.0,15.6
10/29/2021,@ Oakland,2-3,5.0,58.0,31.0,193.0,0.14,55.0,5.0,4.0,94.0,7.0,2.0,14.0,4.0,72.0,0.0,Oakland,5,11.6,6.2,38.6,11.0,1.0,0.8,18.8,0.4,2.8,0.8,14.4
11/04/2021,@ Milwaukee,0-3,3.0,24.0,15.0,85.0,0.106,22.0,0.0,1.0,30.0,9.0,1.0,0.0,2.0,25.0,0.0,Milwaukee,3,8.0,5.0,28.333333333333332,7.333333333333333,0.0,0.3333333333333333,10.0,0.3333333333333333,0.0,0.6666666666666666,8.333333333333334
11/05/2021,@ Green Bay,2-3,5.0,47.0,27.0,142.0,0.141,45.0,6.0,12.0,58.0,10.0,1.0,16.0,3.0,62.0,2.0,Green Bay,5,9.4,5.4,28.4,9.0,1.2,2.4,11.6,0.2,3.2,0.6,12.4
11/07/2021,@ UIC,0-3,3.0,37.0,16.0,104.0,0.202,34.0,4.0,5.0,35.0,3.0,1.0,6.0,2.0,45.0,2.0,UIC,3,12.333333333333334,5.333333333333333,34.666666666666664,11.333333333333334,1.3333333333333333,1.6666666666666667,11.666666666666666,0.3333333333333333,2.0,0.6666666666666666,15.0
11/12/2021,Northern Ky.,0-3,3.0,38.0,21.0,106.0,0.16,38.0,2.0,3.0,44.0,8.0,0.0,8.0,0.0,44.0,0.0,Northern Ky.,3,12.666666666666666,7.0,35.333333333333336,12.666666666666666,0.6666666666666666,1.0,14.666666666666666,0.0,2.6666666666666665,0.0,14.666666666666666
11/13/2021,Wright St.,1-3,4.0,46.0,24.0,155.0,0.142,43.0,6.0,5.0,57.0,7.0,1.0,22.0,1.0,64.0,1.0,Wright St.,4,11.5,6.0,38.75,10.75,1.5,1.25,14.25,0.25,5.5,0.25,16.0
